Username,Password,Role,Name,Surname,Pesel,PWD,Specialization
aportchmouth0,YQ7NSwKpd,Doctor,Audre,Portchmouth,74021433484,7426128,Cardiologist
kmacmoyer1,0mhsQL61z9q,Doctor,Kerstin,MacMoyer,74031257962,5718374,Cardiologist
nessam2,hGmZBOew2M,Doctor,Nita,Essam,59102018345,7113552,Laryngologist
wmazin4,oxMhl99ROzh6,Doctor,Willi,Mazin,67092638115,5869009,Neurologist
mreadhead6,JkLSq0QND9,Doctor,Maxy,Readhead,58031968187,7447042,Laryngologist
wyakebowitch9,icXu33YAT,Doctor,Walden,Yakebowitch,81041925747,5326702,Urologist
rklampka,TUzvfUF,Doctor,Randell,Klampk,81012586188,4714104,Neurologist
awyardb,T4Q84Z5,Doctor,Ariela,Wyard,55091515742,7553296,Urologist
cwalak0,7Kxy2MyCrnTt,Nurse,Chicky,Walak,74010277295,,
rspinelli1,DUENYQhsW3,Nurse,Reina,Spinelli,65012985697,,
mbyles2,iN8NRqp,Nurse,Malinde,Byles,94121147382,,
rmeier3,AwFNtfVkeb,Nurse,Rois,Meier,95042964263,,
ghassell4,p6YDHmH,Nurse,Ginelle,Hassell,54110411153,,
efaulkes5,m48SVv,Nurse,Ermin,Faulkes,48080324278,,
chacard6,ufo2vlr,Nurse,Cedric,Hacard,97081272844,,
tshemwell7,eRobk3,Nurse,Trula,Shemwell,80052562277,,
admin,admin,Admin,Michal,Dudys,95033108858,,
aaa,aaa,Doctor,Adam,Adamczyk,76042693795,1234567,Cardiologist
bbb,bbb,Doctor,Julia,Juliowska,98042432725,7654321,Laryngologist
ccc,ccc,Doctor,Krzysztof,Krzysztofowicz,01301749494,3456789,Urologist
ddd,ddd,Doctor,Michał,Michałowski,74121853276,9876543,Neurologist
